OfferPersonId,OfferId,Question,Textmatching,Duration,Cooperation,Price,Rank,User
D1C58F58-8C6C-4D85-868B-5DE82C74AA75,FB505694-63B1-4EFF-B2D7-45D6E367D36F,14,30,08 09:01,0,"6,85",1,NR
84A4C525-92D5-41E1-9667-7FCD4FAAEB39,FB505694-63B1-4EFF-B2D7-45D6E367D36F,14,0,11 12:52,1,"31,1",2,NR
F98FD024-E690-4292-ABD0-812C2C274124,4D4A4B48-3BC3-4D42-AE39-4617DDBB02FF,15,20,08 23:28,2,"10,43",1,NR
D3B64B80-15B5-4B9C-B2D7-45DB8CF4F5DE,4D4A4B48-3BC3-4D42-AE39-4617DDBB02FF,15,30,15 13:34,0,"10,74",3,NR
0068671F-5791-45B6-94C3-A4EEB9168292,4D4A4B48-3BC3-4D42-AE39-4617DDBB02FF,15,40,12 12:43,1,"9,22",2,NR
800EC1EE-0E9F-4FAD-93CA-BCD4F4D60B0B,8CF46E7F-C187-403F-B8FA-46E4F6C60681,16,90,15 23:46,1,"65,71",2,NR
68E6E319-B9C9-421B-87DA-EBFF15F9EF4C,8CF46E7F-C187-403F-B8FA-46E4F6C60681,16,10,06 09:25,0,"97,59",3,NR
F7A1C951-2F7E-474F-A32B-F2F1EFBF9688,8CF46E7F-C187-403F-B8FA-46E4F6C60681,16,90,09 03:15,0,"77,35",1,NR
1472B732-D112-46C6-A9A4-6A18A7A0605E,BE933BA2-39B3-4C3D-8765-47B7C49F8BD6,17,80,09 21:58,1,"9,53",1,NR
5B65BA18-67F3-421D-AC44-55C98D890304,BE933BA2-39B3-4C3D-8765-47B7C49F8BD6,17,60,09 18:10,1,"8,92",2,NR
D0D5FFB3-2DE3-422E-9B51-DE847D4DAD44,BE933BA2-39B3-4C3D-8765-47B7C49F8BD6,17,80,11 06:12,0,"8,58",3,NR
CD1DBA99-32DB-4647-95E3-076AA6E06E0F,73C88C22-D37D-46AB-8CED-47F6049CDAAD,18,60,25 14:45,0,"674,14",3,NR
E3C6402A-2EAD-4923-9546-D56A9BCD3443,73C88C22-D37D-46AB-8CED-47F6049CDAAD,18,50,28 15:06,0,"308,02",2,NR
309B9F1B-6524-4326-A5A9-A3E86774C717,73C88C22-D37D-46AB-8CED-47F6049CDAAD,18,80,19 09:57,1,"264,95",1,NR
49A82B48-BA6B-41F7-AC91-122A779287C0,F3367BE4-81DE-4A81-B31A-48FA5A8F7C11,19,0,10 07:46,0,"16,13",2,NR
D9D230BC-4AD9-41EE-8A62-196F6693DA8D,F3367BE4-81DE-4A81-B31A-48FA5A8F7C11,19,70,09 03:56,0,"18,19",1,NR
7650EFBF-99EF-40C8-B3C4-8A322F6DE4DE,F3367BE4-81DE-4A81-B31A-48FA5A8F7C11,19,20,16 03:03,0,"12,69",3,NR
4468DFC6-98CB-4163-9170-3852B0EE57B9,018F59C9-C8CA-4D06-BC41-4990AB4CE291,20,60,12 14:42,0,"89,45",1,NR
C5AC87AD-2245-4386-9207-981C612342F7,018F59C9-C8CA-4D06-BC41-4990AB4CE291,20,30,16 03:33,1,"101,74",2,NR
5C48340B-51F3-4E57-B172-6494BC3A03B1,018F59C9-C8CA-4D06-BC41-4990AB4CE291,20,50,11 22:53,1,"601,78",3,NR
6CC98F84-9DB3-43E9-90AC-C6455241B2F0,83FE1A94-33C1-49EF-80BE-49D0A9EE07B2,21,70,09 07:47,0,"61,62",2,NR
0A2F4C4E-F52E-4BCC-9CA2-26AFDB5C8C6A,83FE1A94-33C1-49EF-80BE-49D0A9EE07B2,21,70,10 12:48,0,"35,8",1,NR
D35488E1-D0E1-4ED0-91D5-CBC409EB5894,83FE1A94-33C1-49EF-80BE-49D0A9EE07B2,21,40,14 22:29,1,"55,49",3,NR
